date,gagnant,duree,coups
2025-04-15 09:21:34,X,40.9,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 2), (4, 2), (4, 0), (5, 1), (3, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 0), (5, 1), (3, 0), (4, 1), (3, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 5), (5, 4), (3, 0), (4, 1), (3, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 3), (4, 4), (3, 0), (4, 1), (3, 2), (3, 3), (3, 4), (4, 5), (4, 6), (3, 0), (2, 0), (1, 0), (4, 1), (3, 2), (3, 3), (3, 4), (4, 5), (4, 6), (3, 4), (3, 3), (1, 0), (4, 1), (3, 2), (2, 3), (2, 4), (4, 5), (4, 6), (4, 6), (3, 6), (1, 0), (4, 1), (3, 2), (2, 3), (2, 4), (4, 5), (2, 6), (2, 4), (2, 6), (1, 0), (4, 1), (3, 2), (2, 3), (1, 4), (4, 5), (1, 6), (1, 6), (4, 5), (1, 0), (4, 1), (3, 2), (2, 3), (1, 4), (3, 5), (0, 6), (0, 6), (3, 5)]"
2025-04-15 09:21:44,X,8.89,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 4), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (4, 4), (5, 5), (5, 6), (5, 1), (4, 3), (4, 0), (4, 1), (5, 2), (3, 3), (4, 4), (5, 5), (5, 6), (4, 1), (3, 3), (4, 0), (3, 1), (5, 2), (2, 3), (4, 4), (5, 5), (5, 6), (4, 4), (2, 3)]"
2025-04-15 09:21:53,X,7.51,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 0), (4, 3), (3, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 1), (3, 3), (3, 0), (4, 1), (5, 2), (2, 3), (5, 4), (5, 5), (4, 6), (4, 1), (2, 3)]"
2025-04-15 09:22:01,X,7.26,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 6), (4, 3), (4, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (3, 6), (4, 0), (3, 3), (3, 0), (5, 1), (5, 2), (2, 3), (5, 4), (5, 5), (3, 6), (5, 2), (2, 3)]"
2025-04-15 09:22:09,X,7.05,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 2), (4, 3), (4, 0), (5, 1), (4, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 1), (3, 3), (4, 0), (4, 1), (4, 2), (2, 3), (5, 4), (5, 5), (4, 6), (4, 1), (2, 3)]"
2025-04-15 09:22:33,X,22.37,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 5), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (4, 5), (5, 6), (4, 3), (3, 3), (4, 0), (5, 1), (5, 2), (2, 3), (5, 4), (4, 5), (5, 6), (5, 2), (5, 1), (4, 0), (4, 1), (4, 2), (2, 3), (5, 4), (4, 5), (5, 6), (4, 5), (4, 0), (3, 0), (4, 1), (4, 2), (2, 3), (5, 4), (3, 5), (5, 6), (3, 0), (4, 1), (2, 0), (3, 1), (4, 2), (2, 3), (5, 4), (3, 5), (5, 6), (5, 4), (4, 4), (2, 0), (3, 1), (4, 2), (2, 3), (3, 4), (3, 5), (5, 6), (2, 3), (3, 4), (2, 0), (3, 1), (4, 2), (1, 3), (2, 4), (3, 5), (5, 6), (2, 0), (2, 4), (1, 0), (3, 1), (4, 2), (1, 3), (1, 4), (3, 5), (5, 6), (1, 0), (4, 2)]"
2025-04-15 09:22:44,X,9.98,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 0), (5, 6), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 1), (5, 2), (4, 0), (4, 1), (4, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 0), (5, 5), (3, 0), (4, 1), (4, 2), (4, 3), (5, 4), (4, 5), (4, 6), (4, 2), (5, 4)]"
2025-04-15 09:23:38,X,51.81,"[(5, 0), (4, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 5), (5, 3), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (4, 5), (5, 6), (5, 1), (5, 2), (4, 0), (4, 1), (4, 2), (4, 3), (5, 4), (4, 5), (5, 6), (4, 2), (5, 4), (4, 0), (4, 1), (3, 2), (4, 3), (4, 4), (4, 5), (5, 6), (4, 0), (3, 2), (3, 0), (4, 1), (2, 2), (4, 3), (4, 4), (4, 5), (5, 6), (4, 1), (2, 2), (3, 0), (3, 1), (1, 2), (4, 3), (4, 4), (4, 5), (5, 6), (3, 1), (2, 1), (3, 0), (1, 1), (1, 2), (4, 3), (4, 4), (4, 5), (5, 6), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (4, 3), (4, 4), (4, 5), (5, 6), (4, 4), (1, 0), (0, 0), (1, 1), (1, 2), (4, 3), (3, 4), (4, 5), (5, 6), (3, 4), (0, 0), (1, 1), (1, 2), (4, 3), (2, 4), (4, 5), (5, 6), (2, 4), (1, 1), (0, 1), (1, 2), (4, 3), (1, 4), (4, 5), (5, 6), (0, 1), (1, 2), (0, 2), (4, 3), (1, 4), (4, 5), (5, 6), (0, 2), (1, 4), (4, 3), (0, 4), (4, 5), (5, 6), (5, 6), (4, 6), (4, 3), (0, 4), (4, 5), (3, 6), (4, 5), (3, 5), (4, 3), (0, 4), (2, 5), (3, 6), (2, 5), (1, 5), (4, 3), (0, 4), (0, 5), (3, 6), (3, 6), (2, 6), (4, 3), (0, 4), (0, 5), (1, 6), (0, 4), (4, 3)]"
2025-04-15 09:24:14,X,34.53,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 0), (4, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (5, 6), (5, 2), (5, 4), (4, 0), (5, 1), (4, 2), (3, 3), (4, 4), (5, 5), (5, 6), (5, 6), (5, 5), (4, 0), (5, 1), (4, 2), (3, 3), (4, 4), (4, 5), (4, 6), (4, 0), (4, 5), (3, 0), (5, 1), (4, 2), (3, 3), (4, 4), (3, 5), (4, 6), (3, 0), (4, 4), (2, 0), (5, 1), (4, 2), (3, 3), (3, 4), (3, 5), (4, 6), (3, 3), (2, 3), (2, 0), (5, 1), (4, 2), (1, 3), (3, 4), (3, 5), (4, 6), (4, 6), (3, 4), (2, 0), (5, 1), (4, 2), (1, 3), (2, 4), (3, 5), (3, 6), (2, 0), (1, 0), (0, 0), (5, 1), (4, 2), (1, 3), (2, 4), (3, 5), (3, 6), (0, 0), (4, 2), (5, 1), (3, 2), (1, 3), (2, 4), (3, 5), (3, 6), (2, 4), (3, 2), (5, 1), (2, 2), (1, 3), (1, 4), (3, 5), (3, 6), (1, 4), (2, 2), (5, 1), (1, 2), (1, 3), (0, 4), (3, 5), (3, 6), (3, 6), (1, 2)]"
2025-04-15 09:24:24,X,8.52,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 0), (4, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 6), (4, 0), (4, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 2), (5, 5), (4, 0), (4, 1), (4, 2), (3, 3), (5, 4), (4, 5), (4, 6), (3, 3), (5, 4)]"
